uid,device_id,registerdate,lastpaydate,lastlogtime
294608990256186,741ce6c3-e0f5-43d4-9d88-8581d2a71312,1456146278,,1468306144
681134570239584,1f8a8905-58a4-448c-a0ad-eb8510d7cfba,1456147811,,1468376748
286998308207714,753e7784-cbfe-4623-a47c-3f99f60f4b2e,1456149045,,1462931531
650116316427934,,1456154184,,1458295099
748668636001998,b42b142b-cfe4-46cc-a336-049dfa5195c4,1456158299,1467074532,1468381928
686477509555939,1f5a60bf-84e4-4e66-ae21-002f6d5b85be,1456160456,,1461359682
283991831100663,,1456160925,,1457494133
687405222491891,,1456162163,,1458495146
487788029295879,25b5237c-fef3-4939-8ecf-265c22f09ba5,1456162412,1463238656,1466653749
353157984435496,,1456164768,,1457303868
694259990296351,,1456165093,,1457193675
324630811655510,bd3b5b6f-ab2c-4354-88ee-87cf3ce66847,1456168565,,1464280292
785828693047120,9e8de4ca-3ed0-4bd9-8bec-530fb2622d71,1456170748,,1463850688
690179771365215,92be222e-9a57-4dac-88aa-aefd85b20cdc,1456172114,1464854052,1465790506
407446371057026,bdf2a79a-e7da-458a-a227-2ee68b5df146,1456172396,,1466010719
343116350897554,78216c2e-598c-4ec2-b2b0-ec780f4f664b,1456174175,,1461494787
468202978426295,,1456177594,,1457559789
309804584549824,8f45b4c3-416d-4127-96c1-cbce3efae065,1456178312,1466135368,1468373971
521744040738252,a32d9ddf-b233-480d-9d2a-be8f25fb2e5a,1456179574,,1463473245
690720937244607,01b1deb0-25f3-4e32-baad-1946c9a94252,1456180174,,1468282120
622740194883532,bcf7b88c-bee6-40c1-936d-75ec72f636ad,1456181399,,1462081532
714695444690893,,1456181561,,1457246899
373610618699251,,1456182585,,1456738660
300089368526351,c8f09a86-7477-40f1-8259-b14b621e9167,1456186046,,1468108042
488878950989348,716f7dd7-aaa7-4b9c-88a0-929ea224def7,1456188266,,1462542944
746349353662498,,1456192421,,1458046923
809725891082291,7e547ff5-cc44-4234-997f-ea303bff448c,1456194444,,1466287951
810679373822005,aec8499d-39c6-48d8-9399-2a2f03e0bf9b,1456194579,,1460517109
425356384681592,26151230-468a-4709-b210-5c4c0c8154fc,1456197621,,1461772938
625222685980791,,1456214056,,1457580939
537669779472069,87504285-8958-4355-adec-d3465e79d0bc,1456220233,,1467810500
664074960140428,b7f39aee-6500-4b44-9029-7261eeeb59c9,1456224729,1467114024,1468359975
813574181779598,,1456225034,,1459841070
683273463953579,db21cda8-a1a9-48d5-b482-5dffbf99d130,1456233346,1464485587,1468379253
592495035185357,02276656-45fd-4fed-88a7-0daab7275cfe,1456242373,,1461457318
582805588965598,b61a883c-d99d-411d-8f31-aef7bace2f75,1456246185,,1468250342
337730461908855,5686b9a0-95f7-464a-92e8-686ce988b8c2,1456269297,,1466877010
364264769863558,4bd87362-37cd-4625-a17b-6c71a42519e9,1456272375,,1468303628
658714840955261,0d01e369-969b-4d4f-855a-fd748227b398,1456278690,,1460948402
776989650352529,,1456282255,,1457669569
357985527676911,,1456289180,,1459560980
690463239207369,,1456294899,,1458785159
382990827274259,,1456301481,,1459374517
306428740255789,d6fe1554-85cd-4451-8631-12a46d1e2c52,1456309133,,1462826968
832514987555313,78535e96-1eb4-4ec4-8a5c-e89e2612bdef,1456312579,,1461255432
353115034763379,07c53d28-28ca-4d07-8e61-fe814935d693,1456327778,,1467067949
552693575073910,b9615c8e-6f7f-41f4-af83-5fa3fe304b44,1456328112,,1460057049
711379729938990,,1456328930,,1457056738
798258328402485,,1456329972,,1457821735
312665032769665,e5762691-7a67-45b3-bad2-55bf143e99a3,1456331082,,1463369797
762343811873366,8a6110bf-3c1e-46fd-8408-a95b619aaf75,1456336439,1463424684,1466634273
533039804727505,,1456343654,,1457212268
778664687598243,173d8dbd-b6bd-4941-a08c-97d2b432a416,1456346182,,1461604795
507141151932668,,1456348988,,1457285236
656026191428356,,1456359800,,1457460075
554136684085609,,1456367380,,1458395472
